Nome Parlamentar;Partido;UF;Titular/Suplente/Efetivado;Endereço;Anexo;Endereço (continuação);Gabinete;Endereço (complemento);Telefone;Fax;Mês Aniversário;Dia Aniversário;Correio Eletrônico;Nome sem Acento;Tratamento;Nome Civil;PEC135/19
Junio Amaral;PSL;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;302;Brasília - DF - CEP 70160-900;3215-5302;3215-2302;6;30;dep.junioamaral@camara.leg.br;Junio Amaral;Exmo. Senhor Deputado;GERALDO JUNIO DO AMARAL;1
Júnior Ferrari;PSD;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;919;Brasília - DF - CEP 70160-900;3215-5919;3215-2919;7;13;dep.juniorferrari@camara.leg.br;Junior Ferrari;Exmo. Senhor Deputado;JOÃO FERRARI JÚNIOR;1
Junior Lourenço;PL;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;513;Brasília - DF - CEP 70160-900;3215-5513;3215-2513;10;18;dep.juniorlourenco@camara.leg.br;Junior Lourenco;Exmo. Senhor Deputado;JOSE LOURENÇO BOMFIM JUNIOR;0
Júnior Mano;PL;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;807;Brasília - DF - CEP 70160-900;3215-5807;3215-2807;4;16;dep.juniormano@camara.leg.br;Junior Mano;Exmo. Senhor Deputado;ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR;0
Juscelino Filho;DEM;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;222;Brasília - DF - CEP 70160-900;3215-5222;3215-2222;11;6;dep.juscelinofilho@camara.leg.br;Juscelino Filho;Exmo. Senhor Deputado;JOSE JUSCELINO DOS SANTOS REZENDE FILHO;
Kim Kataguiri;DEM;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;421;Brasília - DF - CEP 70160-900;3215-5421;3215-2421;1;28;dep.kimkataguiri@camara.leg.br;Kim Kataguiri;Exmo. Senhor Deputado;KIM PATROCA KATAGUIRI;0
Laercio Oliveira;PP;SE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;629;Brasília - DF - CEP 70160-900;3215-5629;3215-2629;4;15;dep.laerciooliveira@camara.leg.br;Laercio Oliveira;Exmo. Senhor Deputado;LAERCIO JOSÉ DE OLIVEIRA;1
Laerte Bessa;PL;DF;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;646;Brasília - DF - CEP 70160-900;3215-5646;3215-2646;5;1;dep.laertebessa@camara.leg.br;Laerte Bessa;Exmo. Senhor Deputado;LAERTE RODRIGUES DE BESSA;
Lafayette de Andrada;REPUBLICANOS;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;208;Brasília - DF - CEP 70160-900;3215-5208;3215-2208;10;17;dep.lafayettedeandrada@camara.leg.br;Lafayette de Andrada;Exmo. Senhor Deputado;LAFAYETTE LUIZ DOORGAL DE ANDRADA;1
Lauriete;PSC;ES;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;223;Brasília - DF - CEP 70160-900;3215-5223;3215-2223;2;23;dep.lauriete@camara.leg.br;Lauriete;Exma. Senhora Deputada;LAURIETE RODRIGUES DE JESUS;1
Leandre;PV;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;454;Brasília - DF - CEP 70160-900;3215-5454;3215-2454;12;20;dep.leandre@camara.leg.br;Leandre;Exma. Senhora Deputada;LEANDRE DAL PONTE;1
Leda Sadala;AVANTE;AP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;611;Brasília - DF - CEP 70160-900;3215-5611;3215-2611;6;11;dep.ledasadala@camara.leg.br;Leda Sadala;Exma. Senhora Deputada;LEDA MARIA SADALA BRITO;
LEO DE BRITO;PT;AC;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;572;Brasília - DF - CEP 70160-900;3215-5572;3215-2572;4;13;dep.leodebrito@camara.leg.br;LEO DE BRITO;Exmo. Senhor Deputado;LEONARDO CUNHA DE BRITO;0
Léo Moraes;PODE;RO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;503;Brasília - DF - CEP 70160-900;3215-5503;3215-2503;1;11;dep.leomoraes@camara.leg.br;Leo Moraes;Exmo. Senhor Deputado;LEONARDO BARRETO DE MORAES;1
Léo Motta;PSL;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;724;Brasília - DF - CEP 70160-900;3215-5724;3215-2724;10;26;dep.leomotta@camara.leg.br;Leo Motta;Exmo. Senhor Deputado;ELIEL MÁRCIO DO CARMO;1
Leonardo Monteiro;PT;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;922;Brasília - DF - CEP 70160-900;3215-5922;3215-2922;10;9;dep.leonardomonteiro@camara.leg.br;Leonardo Monteiro;Exmo. Senhor Deputado;JOSÉ LEONARDO COSTA MONTEIRO;0
Leônidas Cristino;PDT;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;948;Brasília - DF - CEP 70160-900;3215-5948;3215-2948;6;3;dep.leonidascristino@camara.leg.br;Leonidas Cristino;Exmo. Senhor Deputado;JOSÉ LEÔNIDAS DE MENEZES CRISTINO;0
Leur Lomanto Júnior;DEM;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;406;Brasília - DF - CEP 70160-900;3215-5406;3215-2406;10;28;dep.leurlomantojunior@camara.leg.br;Leur Lomanto Junior;Exmo. Senhor Deputado;LEUR ANTONIO DE BRITTO LOMANTO JUNIOR;1
Lídice da Mata;PSB;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;913;Brasília - DF - CEP 70160-900;3215-5913;3215-2913;3;12;dep.lidicedamata@camara.leg.br;Lidice da Mata;Exma. Senhora Deputada;LÍDICE DA MATA E SOUZA;0
Lincoln Portela;PL;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;615;Brasília - DF - CEP 70160-900;3215-5615;3215-2615;11;3;dep.lincolnportela@camara.leg.br;Lincoln Portela;Exmo. Senhor Deputado;LINCOLN DINIZ PORTELA;1
Liziane Bayer;PSB;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;538;Brasília - DF - CEP 70160-900;3215-5538;3215-2538;1;24;dep.lizianebayer@camara.leg.br;Liziane Bayer;Exma. Senhora Deputada;LIZIANE BAYER DA COSTA;1
Loester Trutis;PSL;MS;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;380;Brasília - DF - CEP 70160-900;3215-5380;3215-2380;9;21;dep.loestertrutis@camara.leg.br;Loester Trutis;Exmo. Senhor Deputado;LOESTER CARLOS GOMES DE SOUZA;1
Lourival Gomes;PSL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;636;Brasília - DF - CEP 70160-900;3215-5636;3215-2636;7;22;dep.lourivalgomes@camara.leg.br;Lourival Gomes;Exmo. Senhor Deputado;LOURIVAL GOMES DE ALMEIDA;1
Lucas Gonzalez;NOVO;MG;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;581;Brasília - DF - CEP 70160-900;3215-5581;3215-2581;12;21;dep.lucasgonzalez@camara.leg.br;Lucas Gonzalez;Exmo. Senhor Deputado;LUCAS DE VASCONCELOS GONZALEZ;1
Lucas Redecker;PSDB;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;905;Brasília - DF - CEP 70160-900;3215-5905;3215-2905;5;26;dep.lucasredecker@camara.leg.br;Lucas Redecker;Exmo. Senhor Deputado;LUCAS BELLO REDECKER;1
Lucas Vergilio;SOLIDARIEDADE;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;816;Brasília - DF - CEP 70160-900;3215-5816;3215-2816;4;8;dep.lucasvergilio@camara.leg.br;Lucas Vergilio;Exmo. Senhor Deputado;LUCAS DE CASTRO SANTOS;0
Luciano Bivar;PSL;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;215;Brasília - DF - CEP 70160-900;3215-5215;3215-2215;11;29;dep.lucianobivar@camara.leg.br;Luciano Bivar;Exmo. Senhor Deputado;LUCIANO CALDAS BIVAR;0
Luciano Ducci;PSB;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;427;Brasília - DF - CEP 70160-900;3215-5427;3215-2427;3;23;dep.lucianoducci@camara.leg.br;Luciano Ducci;Exmo. Senhor Deputado;LUCIANO DUCCI;1
Lucio Mosquini;MDB;RO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;918;Brasília - DF - CEP 70160-900;3215-5918;3215-2918;7;23;dep.luciomosquini@camara.leg.br;Lucio Mosquini;Exmo. Senhor Deputado;LUCIO ANTONIO MOSQUINI;1
Luis Miranda;DEM;DF;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;241;Brasília - DF - CEP 70160-900;3215-5241;3215-2241;3;27;dep.luismiranda@camara.leg.br;Luis Miranda;Exmo. Senhor Deputado;LUIS CLAUDIO FERNANDES MIRANDA;0
Luis Tibé;AVANTE;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;632;Brasília - DF - CEP 70160-900;3215-5632;3215-2632;7;23;dep.luistibe@camara.leg.br;Luis Tibe;Exmo. Senhor Deputado;LUIS HENRIQUE DE OLIVEIRA RESENDE;0
Luisa Canziani;PTB;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;842;Brasília - DF - CEP 70160-900;3215-5842;3215-2842;4;11;dep.luisacanziani@camara.leg.br;Luisa Canziani;Exma. Senhora Deputada;LUISA CANZIANI DOS SANTOS SILVEIRA;
Luiz Antônio Corrêa;PL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;610;Brasília - DF - CEP 70160-900;3215-5610;3215-2610;12;27;dep.luizantoniocorrea@camara.leg.br;Luiz Antonio Correa;Exmo. Senhor Deputado;LUIZ ANTONIO C. C. CORRÊA DA SILVA;0
Luiz Carlos Motta;PL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;415;Brasília - DF - CEP 70160-900;3215-5415;3215-2415;4;24;dep.luizcarlosmotta@camara.leg.br;Luiz Carlos Motta;Exmo. Senhor Deputado;LUIZ CARLOS MOTTA;0
Luiz Lima;PSL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;504;Brasília - DF - CEP 70160-900;3215-5504;3215-2504;12;10;dep.luizlima@camara.leg.br;Luiz Lima;Exmo. Senhor Deputado;LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA;1
Luiz Nishimori;PL;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;907;Brasília - DF - CEP 70160-900;3215-5907;3215-2907;4;9;dep.luiznishimori@camara.leg.br;Luiz Nishimori;Exmo. Senhor Deputado;LUIZ HILOSHI NISHIMORI;1
Luiz Philippe de Orleans e Bragança;PSL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;719;Brasília - DF - CEP 70160-900;3215-5719;3215-2719;4;3;dep.luizphilippedeorleansebraganca@camara.leg.br;Luiz Philippe de Orleans e Braganca;Exmo. Senhor Deputado;LUIZ PHILIPPE DE ORLEANS BRAGANÇA;1
Luiza Erundina;PSOL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;620;Brasília - DF - CEP 70160-900;3215-5620;3215-2620;11;30;dep.luizaerundina@camara.leg.br;Luiza Erundina;Exma. Senhora Deputada;LUIZA ERUNDINA DE SOUSA;0
Luizão Goulart;REPUBLICANOS;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;218;Brasília - DF - CEP 70160-900;3215-5218;3215-2218;6;6;dep.luizaogoulart@camara.leg.br;Luizao Goulart;Exmo. Senhor Deputado;LUIZ GOULARTE ALVES;0
Luizianne Lins;PT;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;713;Brasília - DF - CEP 70160-900;3215-5713;3215-2713;11;18;dep.luiziannelins@camara.leg.br;Luizianne Lins;Exma. Senhora Deputada;LUIZIANNE DE OLIVEIRA LINS;0
Magda Mofatto;PL;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;934;Brasília - DF - CEP 70160-900;3215-5934;3215-2934;10;26;dep.magdamofatto@camara.leg.br;Magda Mofatto;Exma. Senhora Deputada;MAGDA MOFATTO HON;1
Major Fabiana;PSL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;509;Brasília - DF - CEP 70160-900;3215-5509;3215-2509;1;9;dep.majorfabiana@camara.leg.br;Major Fabiana;Exma. Senhora Deputada;FABIANA SILVA DE SOUZA POUBEL;1
Mara Rocha;PSDB;AC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;607;Brasília - DF - CEP 70160-900;3215-5607;3215-2607;9;4;dep.mararocha@camara.leg.br;Mara Rocha;Exma. Senhora Deputada;CYLMARA FERNANDES DA ROCHA GRIPP;1
Marcel van Hattem;NOVO;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;958;Brasília - DF - CEP 70160-900;3215-5958;3215-2958;11;8;dep.marcelvanhattem@camara.leg.br;Marcel van Hattem;Exmo. Senhor Deputado;MARCEL VAN HATTEM;1
Marcelo Álvaro Antônio;PSL;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;824;Brasília - DF - CEP 70160-900;3215-5824;3215-2824;2;16;dep.marceloalvaroantonio@camara.leg.br;Marcelo Alvaro Antonio;Exmo. Senhor Deputado;MARCELO HENRIQUE TEIXEIRA DIAS;
Marcelo Aro;PP;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;821;Brasília - DF - CEP 70160-900;3215-5821;3215-2821;6;12;dep.marceloaro@camara.leg.br;Marcelo Aro;Exmo. Senhor Deputado;MARCELO GUILHERME DE ARO FERREIRA;0
Marcelo Brum;PSL;RS;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;828;Brasília - DF - CEP 70160-900;3215-5828;3215-2828;11;25;dep.marcelobrum@camara.leg.br;Marcelo Brum;Exmo. Senhor Deputado;MARCELO DE BRUM DA COSTA;1
Marcelo Calero;CIDADANIA;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;939;Brasília - DF - CEP 70160-900;3215-5939;3215-2939;7;7;dep.marcelocalero@camara.leg.br;Marcelo Calero;Exmo. Senhor Deputado;MARCELO CALERO FARIA GARCIA;0
Marcelo Freixo;PSB;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;725;Brasília - DF - CEP 70160-900;3215-5725;3215-2725;4;12;dep.marcelofreixo@camara.leg.br;Marcelo Freixo;Exmo. Senhor Deputado;MARCELO RIBEIRO FREIXO;0
Marcelo Moraes;PTB;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;258;Brasília - DF - CEP 70160-900;3215-5258;3215-2258;8;7;dep.marcelomoraes@camara.leg.br;Marcelo Moraes;Exmo. Senhor Deputado;MARCELO PIRES MORAES;1
Marcelo Nilo;PSB;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;520;Brasília - DF - CEP 70160-900;3215-5520;3215-2520;4;26;dep.marcelonilo@camara.leg.br;Marcelo Nilo;Exmo. Senhor Deputado;JOSÉ MARCELO DO NASCIMENTO NILO;0
Marcelo Ramos;PL;AM;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;805;Brasília - DF - CEP 70160-900;3215-5805;3215-2805;8;29;dep.marceloramos@camara.leg.br;Marcelo Ramos;Exmo. Senhor Deputado;MARCELO RAMOS RODRIGUES;0
Marcio Alvino;PL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;331;Brasília - DF - CEP 70160-900;3215-5331;3215-2331;6;14;dep.marcioalvino@camara.leg.br;Marcio Alvino;Exmo. Senhor Deputado;MARCIO LUIZ ALVINO DE SOUZA;0
Márcio Biolchi;MDB;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;843;Brasília - DF - CEP 70160-900;3215-5843;3215-2843;5;23;dep.marciobiolchi@camara.leg.br;Marcio Biolchi;Exmo. Senhor Deputado;MARCIO DELLA VALLE BIOLCHI;1
Márcio Labre;PSL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;325;Brasília - DF - CEP 70160-900;3215-5325;3215-2325;2;27;dep.marciolabre@camara.leg.br;Marcio Labre;Exmo. Senhor Deputado;MÁRCIO DA SILVEIRA LABRE;1
Márcio Marinho;REPUBLICANOS;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;326;Brasília - DF - CEP 70160-900;3215-5326;3215-2326;12;12;dep.marciomarinho@camara.leg.br;Marcio Marinho;Exmo. Senhor Deputado;MÁRCIO CARLOS MARINHO;1
Marco Bertaiolli;PSD;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;401;Brasília - DF - CEP 70160-900;3215-5401;3215-2401;4;30;dep.marcobertaiolli@camara.leg.br;Marco Bertaiolli;Exmo. Senhor Deputado;MARCO AURELIO BERTAIOLLI;0
Marcon;PT;RS;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;569;Brasília - DF - CEP 70160-900;3215-5569;3215-2569;9;21;dep.marcon@camara.leg.br;Marcon;Exmo. Senhor Deputado;DIONILSO MATEUS MARCON;0
Marcos Aurélio Sampaio;MDB;PI;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;565;Brasília - DF - CEP 70160-900;3215-5565;3215-2565;9;19;dep.marcosaureliosampaio@camara.leg.br;Marcos Aurelio Sampaio;Exmo. Senhor Deputado;MARCOS AURÉLIO  PÁDUA RIBEIRO GONÇALVES DE SAMPAIO;0
Marcos Pereira;REPUBLICANOS;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;523;Brasília - DF - CEP 70160-900;3215-5523;3215-2523;4;4;dep.marcospereira@camara.leg.br;Marcos Pereira;Exmo. Senhor Deputado;MARCOS ANTONIO PEREIRA;1
Marcos Soares;DEM;RJ;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;727;Brasília - DF - CEP 70160-900;3215-5727;3215-2727;5;16;dep.marcossoares@camara.leg.br;Marcos Soares;Exmo. Senhor Deputado;MARCOS BEZERRA RIBEIRO SOARES;1
Margarete Coelho;PP;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;210;Brasília - DF - CEP 70160-900;3215-5210;3215-2210;3;12;dep.margaretecoelho@camara.leg.br;Margarete Coelho;Exma. Senhora Deputada;MARGARETE DE CASTRO COELHO;0
Maria do Rosário;PT;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;312;Brasília - DF - CEP 70160-900;3215-5312;3215-2312;11;22;dep.mariadorosario@camara.leg.br;Maria do Rosario;Exma. Senhora Deputada;MARIA DO ROSÁRIO NUNES;
Maria Rosas;REPUBLICANOS;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;436;Brasília - DF - CEP 70160-900;3215-5436;3215-2436;10;1;dep.mariarosas@camara.leg.br;Maria Rosas;Exma. Senhora Deputada;MARIA DO PARTO MENDES ROSAS;1
Mariana Carvalho;PSDB;RO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;508;Brasília - DF - CEP 70160-900;3215-5508;3215-2508;11;26;dep.marianacarvalho@camara.leg.br;Mariana Carvalho;Exma. Senhora Deputada;MARIANA FONSECA RIBEIRO CARVALHO DE MORAES;1
Marília Arraes;PT;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;654;Brasília - DF - CEP 70160-900;3215-5654;3215-2654;4;12;dep.mariliaarraes@camara.leg.br;Marilia Arraes;Exma. Senhora Deputada;MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR;0
Marina Santos;SOLIDARIEDADE;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;434;Brasília - DF - CEP 70160-900;3215-5434;3215-2434;9;13;dep.marinasantos@camara.leg.br;Marina Santos;Exma. Senhora Deputada;MARINA SANTOS BATISTA DIAS;1
Mário Heringer;PDT;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;211;Brasília - DF - CEP 70160-900;3215-5211;3215-2211;9;30;dep.marioheringer@camara.leg.br;Mario Heringer;Exmo. Senhor Deputado;MÁRIO LÚCIO HERINGER;0
Mário Negromonte Jr.;PP;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;424;Brasília - DF - CEP 70160-900;3215-5424;3215-2424;8;31;dep.marionegromontejr@camara.leg.br;Mario Negromonte Jr.;Exmo. Senhor Deputado;MARIO S. M. NEGROMONTE JR.;0
Marlon Santos;PDT;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;760;Brasília - DF - CEP 70160-900;3215-5760;3215-2760;9;25;dep.marlonsantos@camara.leg.br;Marlon Santos;Exmo. Senhor Deputado;MARLON ARATOR SANTOS DA ROSA;1
Marreca Filho;PATRIOTA;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;537;Brasília - DF - CEP 70160-900;3215-5537;3215-2537;4;25;dep.marrecafilho@camara.leg.br;Marreca Filho;Exmo. Senhor Deputado;ANTONIO DA CRUZ FILGUEIRA NETO;0
Marx Beltrão;PSD;AL;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;722;Brasília - DF - CEP 70160-900;3215-5722;3215-2722;11;28;dep.marxbeltrao@camara.leg.br;Marx Beltrao;Exmo. Senhor Deputado;MARX BELTRÃO LIMA SIQUEIRA;1
Maurício Dziedricki;PTB;RS;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;576;Brasília - DF - CEP 70160-900;3215-5576;3215-2576;7;26;dep.mauriciodziedricki@camara.leg.br;Mauricio Dziedricki;Exmo. Senhor Deputado;MAURÍCIO ALEXANDRE DZIEDRICKI;1
Mauro Lopes;MDB;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;844;Brasília - DF - CEP 70160-900;3215-5844;3215-2844;5;24;dep.maurolopes@camara.leg.br;Mauro Lopes;Exmo. Senhor Deputado;MAURO RIBEIRO LOPES;
Mauro Nazif;PSB;RO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;818;Brasília - DF - CEP 70160-900;3215-5818;3215-2818;1;30;dep.mauronazif@camara.leg.br;Mauro Nazif;Exmo. Senhor Deputado;MAURO NAZIF RASUL;1
Merlong Solano;PT;PI;E;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;909;Brasília - DF - CEP 70160-900;3215-5909;3215-2909;9;17;dep.merlongsolano@camara.leg.br;Merlong Solano;Exmo. Senhor Deputado;MERLONG SOLANO NOGUEIRA;0
Miguel Lombardi;PL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;835;Brasília - DF - CEP 70160-900;3215-5835;3215-2835;1;29;dep.miguellombardi@camara.leg.br;Miguel Lombardi;Exmo. Senhor Deputado;MIGUEL LOMBARDI;1
Milton Coelho;PSB;PE;E;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;282;Brasília - DF - CEP 70160-900;3215-5282;3215-2282;12;21;dep.miltoncoelho@camara.leg.br;Milton Coelho;Exmo. Senhor Deputado;MILTON COELHO DA SILVA NETO;0
Misael Varella;PSD;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;721;Brasília - DF - CEP 70160-900;3215-5721;3215-2721;11;27;dep.misaelvarella@camara.leg.br;Misael Varella;Exmo. Senhor Deputado;MISAEL ARTUR FERREIRA VARELLA;1
Moses Rodrigues;MDB;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;809;Brasília - DF - CEP 70160-900;3215-5809;3215-2809;6;6;dep.mosesrodrigues@camara.leg.br;Moses Rodrigues;Exmo. Senhor Deputado;MOSES HAENDEL MELO RODRIGUES;1
Natália Bonavides;PT;RN;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;748;Brasília - DF - CEP 70160-900;3215-5748;3215-2748;6;15;dep.nataliabonavides@camara.leg.br;Natalia Bonavides;Exma. Senhora Deputada;NATÁLIA BASTOS BONAVIDES;0
Nelson Barbudo;PSL;MT;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;635;Brasília - DF - CEP 70160-900;3215-5635;3215-2635;2;14;dep.nelsonbarbudo@camara.leg.br;Nelson Barbudo;Exmo. Senhor Deputado;NELSON NED PREVIDENTE;1
Nereu Crispim;PSL;RS;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;483;Brasília - DF - CEP 70160-900;3215-5483;3215-2483;7;21;dep.nereucrispim@camara.leg.br;Nereu Crispim;Exmo. Senhor Deputado;NEREU CRISPIM;0
Neri Geller;PP;MT;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;658;Brasília - DF - CEP 70160-900;3215-5658;3215-2658;11;7;dep.nerigeller@camara.leg.br;Neri Geller;Exmo. Senhor Deputado;NERI GELLER;1
Neucimar Fraga;PSD;ES;E;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;375;Brasília - DF - CEP 70160-900;3215-5375;3215-2375;6;26;dep.neucimarfraga@camara.leg.br;Neucimar Fraga;Exmo. Senhor Deputado;NEUCIMAR FERREIRA FRAGA;1
Newton Cardoso Jr;MDB;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;932;Brasília - DF - CEP 70160-900;3215-5932;3215-2932;11;11;dep.newtoncardosojr@camara.leg.br;Newton Cardoso Jr;Exmo. Senhor Deputado;NEWTON CARDOSO JUNIOR;0
Nicoletti;PSL;RR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;746;Brasília - DF - CEP 70160-900;3215-5746;3215-2746;7;21;dep.nicoletti@camara.leg.br;Nicoletti;Exmo. Senhor Deputado;ANTONIO CARLOS NICOLETTI;1
Nilson Pinto;PSDB;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;527;Brasília - DF - CEP 70160-900;3215-5527;3215-2527;3;25;dep.nilsonpinto@camara.leg.br;Nilson Pinto;Exmo. Senhor Deputado;NILSON PINTO DE OLIVEIRA;0
Nilto Tatto;PT;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;502;Brasília - DF - CEP 70160-900;3215-5502;3215-2502;7;31;dep.niltotatto@camara.leg.br;Nilto Tatto;Exmo. Senhor Deputado;NILTO IGNACIO TATTO;0
Nivaldo Albuquerque;PTB;AL;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;425;Brasília - DF - CEP 70160-900;3215-5425;3215-2425;1;7;dep.nivaldoalbuquerque@camara.leg.br;Nivaldo Albuquerque;Exmo. Senhor Deputado;NIVALDO FERREIRA DE ALBUQUERQUE NETO;1
Norma Ayub;DEM;ES;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;732;Brasília - DF - CEP 70160-900;3215-5732;3215-2732;9;7;dep.normaayub@camara.leg.br;Norma Ayub;Exma. Senhora Deputada;NORMA AYUB ALVES;1
Odair Cunha;PT;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;556;Brasília - DF - CEP 70160-900;3215-5556;3215-2556;6;18;dep.odaircunha@camara.leg.br;Odair Cunha;Exmo. Senhor Deputado;ODAIR JOSÉ DA CUNHA;0
Odorico Monteiro;PSB;CE;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;625;Brasília - DF - CEP 70160-900;3215-5625;3215-2625;8;11;dep.odoricomonteiro@camara.leg.br;Odorico Monteiro;Exmo. Senhor Deputado;LUIZ ODORICO MONTEIRO DE ANDRADE;0
